08/08/23 21:26:02 EST -0500 | ##### Start #####
08/08/23 22:00:03 EST -0500 | #####  End  #####
08/08/23 22:01:02 EST -0500 | ##### Start #####
08/08/23 22:01:02 EST -0500 | #####  End  #####
08/08/23 22:02:02 EST -0500 | ##### Start #####
08/08/23 22:02:03 EST -0500 | #####  End  #####
08/08/23 22:03:02 EST -0500 | ##### Start #####
08/08/23 22:03:02 EST -0500 | #####  End  #####
08/08/23 22:04:02 EST -0500 | ##### Start #####
08/08/23 22:04:03 EST -0500 | #####  End  #####
08/08/23 22:05:02 EST -0500 | ##### Start #####
08/08/23 22:05:02 EST -0500 | #####  End  #####
08/08/23 22:06:02 EST -0500 | ##### Start #####
08/08/23 22:06:03 EST -0500 | #####  End  #####
08/08/23 22:07:02 EST -0500 | ##### Start #####
08/08/23 22:07:02 EST -0500 | #####  End  #####
08/08/23 22:08:02 EST -0500 | ##### Start #####
08/08/23 22:08:03 EST -0500 | #####  End  #####
08/08/23 22:09:02 EST -0500 | ##### Start #####
08/08/23 22:09:02 EST -0500 | #####  End  #####
08/08/23 22:10:03 EST -0500 | ##### Start #####
08/08/23 22:10:03 EST -0500 | #####  End  #####
08/08/23 22:11:02 EST -0500 | ##### Start #####
08/08/23 22:11:03 EST -0500 | #####  End  #####
08/08/23 22:12:02 EST -0500 | ##### Start #####
08/08/23 22:12:02 EST -0500 | #####  End  #####
08/08/23 22:13:02 EST -0500 | ##### Start #####
08/08/23 22:13:02 EST -0500 | #####  End  #####
08/08/23 22:14:03 EST -0500 | ##### Start #####
08/08/23 22:14:03 EST -0500 | #####  End  #####
08/08/23 22:15:02 EST -0500 | ##### Start #####
08/08/23 22:15:03 EST -0500 | #####  End  #####
08/08/23 22:16:02 EST -0500 | ##### Start #####
08/08/23 22:16:02 EST -0500 | #####  End  #####
08/08/23 22:17:02 EST -0500 | ##### Start #####
08/08/23 22:17:03 EST -0500 | #####  End  #####
08/08/23 22:18:01 EST -0500 | ##### Start #####
08/08/23 22:18:02 EST -0500 | #####  End  #####
08/08/23 22:19:02 EST -0500 | ##### Start #####
08/08/23 22:19:03 EST -0500 | #####  End  #####
08/08/23 22:20:02 EST -0500 | ##### Start #####
08/08/23 22:20:02 EST -0500 | #####  End  #####
08/08/23 22:21:02 EST -0500 | ##### Start #####
08/08/23 22:21:03 EST -0500 | #####  End  #####
08/08/23 22:22:02 EST -0500 | ##### Start #####
08/08/23 22:22:03 EST -0500 | #####  End  #####
08/08/23 22:23:01 EST -0500 | ##### Start #####
08/08/23 22:23:02 EST -0500 | #####  End  #####
08/08/23 22:24:02 EST -0500 | ##### Start #####
08/08/23 22:24:02 EST -0500 | #####  End  #####
08/08/23 22:25:03 EST -0500 | ##### Start #####
08/08/23 22:25:03 EST -0500 | #####  End  #####
08/08/23 22:26:02 EST -0500 | ##### Start #####
08/08/23 22:26:03 EST -0500 | #####  End  #####
08/08/23 22:27:02 EST -0500 | ##### Start #####
08/08/23 22:27:02 EST -0500 | #####  End  #####
08/08/23 22:28:02 EST -0500 | ##### Start #####
08/08/23 22:28:03 EST -0500 | #####  End  #####
08/08/23 22:29:01 EST -0500 | ##### Start #####
08/08/23 22:29:02 EST -0500 | #####  End  #####
08/08/23 22:30:02 EST -0500 | ##### Start #####
08/08/23 22:30:03 EST -0500 | #####  End  #####
08/08/23 22:31:02 EST -0500 | ##### Start #####
08/08/23 22:31:02 EST -0500 | #####  End  #####
08/08/23 22:32:02 EST -0500 | ##### Start #####
08/08/23 22:32:03 EST -0500 | #####  End  #####
08/08/23 22:33:02 EST -0500 | ##### Start #####
08/08/23 22:33:02 EST -0500 | #####  End  #####
08/08/23 22:34:02 EST -0500 | ##### Start #####
08/08/23 22:34:03 EST -0500 | #####  End  #####
08/08/23 22:35:02 EST -0500 | ##### Start #####
08/08/23 22:35:02 EST -0500 | #####  End  #####
08/08/23 22:36:02 EST -0500 | ##### Start #####
08/08/23 22:36:03 EST -0500 | #####  End  #####
08/08/23 22:37:02 EST -0500 | ##### Start #####
08/08/23 22:37:02 EST -0500 | #####  End  #####
08/08/23 22:38:02 EST -0500 | ##### Start #####
08/08/23 22:38:03 EST -0500 | #####  End  #####
08/08/23 22:39:02 EST -0500 | ##### Start #####
08/08/23 22:39:02 EST -0500 | #####  End  #####
08/08/23 22:40:02 EST -0500 | ##### Start #####
08/08/23 22:40:03 EST -0500 | #####  End  #####
08/08/23 22:41:02 EST -0500 | ##### Start #####
08/08/23 22:41:03 EST -0500 | #####  End  #####
08/08/23 22:42:01 EST -0500 | ##### Start #####
08/08/23 22:42:02 EST -0500 | #####  End  #####
08/08/23 22:43:03 EST -0500 | ##### Start #####
08/08/23 22:43:03 EST -0500 | #####  End  #####
08/08/23 22:44:02 EST -0500 | ##### Start #####
08/08/23 22:44:03 EST -0500 | #####  End  #####
08/08/23 22:45:02 EST -0500 | ##### Start #####
08/08/23 22:45:03 EST -0500 | #####  End  #####
08/08/23 22:46:02 EST -0500 | ##### Start #####
08/08/23 22:46:02 EST -0500 | #####  End  #####
08/08/23 22:47:02 EST -0500 | ##### Start #####
08/08/23 22:47:03 EST -0500 | #####  End  #####
08/08/23 22:48:02 EST -0500 | ##### Start #####
08/08/23 22:48:02 EST -0500 | #####  End  #####
08/08/23 22:49:02 EST -0500 | ##### Start #####
08/08/23 22:49:03 EST -0500 | #####  End  #####
08/08/23 22:50:02 EST -0500 | ##### Start #####
08/08/23 22:50:02 EST -0500 | #####  End  #####
08/08/23 22:51:02 EST -0500 | ##### Start #####
08/08/23 22:51:02 EST -0500 | #####  End  #####
08/08/23 22:52:02 EST -0500 | ##### Start #####
08/08/23 22:52:03 EST -0500 | #####  End  #####
08/08/23 22:53:02 EST -0500 | ##### Start #####
08/08/23 22:53:02 EST -0500 | #####  End  #####
08/08/23 22:54:02 EST -0500 | ##### Start #####
08/08/23 22:54:03 EST -0500 | #####  End  #####
08/08/23 22:55:01 EST -0500 | ##### Start #####
08/08/23 22:55:02 EST -0500 | #####  End  #####
08/08/23 22:56:02 EST -0500 | ##### Start #####
08/08/23 22:56:03 EST -0500 | #####  End  #####
08/08/23 22:57:02 EST -0500 | ##### Start #####
08/08/23 22:57:02 EST -0500 | #####  End  #####
08/08/23 22:58:03 EST -0500 | ##### Start #####
08/08/23 22:58:03 EST -0500 | #####  End  #####
08/08/23 22:59:02 EST -0500 | ##### Start #####
08/08/23 22:59:03 EST -0500 | #####  End  #####
08/08/23 23:00:02 EST -0500 | ##### Start #####
08/08/23 23:00:02 EST -0500 | #####  End  #####
08/08/23 23:01:02 EST -0500 | ##### Start #####
08/08/23 23:01:03 EST -0500 | #####  End  #####
08/08/23 23:02:02 EST -0500 | ##### Start #####
08/08/23 23:02:02 EST -0500 | #####  End  #####
08/08/23 23:03:02 EST -0500 | ##### Start #####
08/08/23 23:03:03 EST -0500 | #####  End  #####
08/08/23 23:04:02 EST -0500 | ##### Start #####
08/08/23 23:04:02 EST -0500 | #####  End  #####
08/08/23 23:05:02 EST -0500 | ##### Start #####
08/08/23 23:05:03 EST -0500 | #####  End  #####
08/08/23 23:06:02 EST -0500 | ##### Start #####
08/08/23 23:06:02 EST -0500 | #####  End  #####
08/08/23 23:07:02 EST -0500 | ##### Start #####
08/08/23 23:07:03 EST -0500 | #####  End  #####
08/08/23 23:08:02 EST -0500 | ##### Start #####
08/08/23 23:08:02 EST -0500 | #####  End  #####
08/08/23 23:09:02 EST -0500 | ##### Start #####
08/08/23 23:09:02 EST -0500 | #####  End  #####
08/08/23 23:10:02 EST -0500 | ##### Start #####
08/08/23 23:10:03 EST -0500 | #####  End  #####
08/08/23 23:11:02 EST -0500 | ##### Start #####
08/08/23 23:11:03 EST -0500 | #####  End  #####
08/08/23 23:12:02 EST -0500 | ##### Start #####
08/08/23 23:12:03 EST -0500 | #####  End  #####
08/08/23 23:13:01 EST -0500 | ##### Start #####
08/08/23 23:13:02 EST -0500 | #####  End  #####
08/08/23 23:14:02 EST -0500 | ##### Start #####
08/08/23 23:14:02 EST -0500 | #####  End  #####
08/08/23 23:15:02 EST -0500 | ##### Start #####
08/08/23 23:15:03 EST -0500 | #####  End  #####
08/08/23 23:16:02 EST -0500 | ##### Start #####
08/08/23 23:16:02 EST -0500 | #####  End  #####
08/08/23 23:17:02 EST -0500 | ##### Start #####
08/08/23 23:17:03 EST -0500 | #####  End  #####
08/08/23 23:18:02 EST -0500 | ##### Start #####
08/08/23 23:18:02 EST -0500 | #####  End  #####
08/08/23 23:19:02 EST -0500 | ##### Start #####
08/08/23 23:19:03 EST -0500 | #####  End  #####
08/08/23 23:20:02 EST -0500 | ##### Start #####
08/08/23 23:20:02 EST -0500 | #####  End  #####
08/08/23 23:21:02 EST -0500 | ##### Start #####
08/08/23 23:21:03 EST -0500 | #####  End  #####
08/08/23 23:22:02 EST -0500 | ##### Start #####
08/08/23 23:22:02 EST -0500 | #####  End  #####
08/08/23 23:23:02 EST -0500 | ##### Start #####
08/08/23 23:23:03 EST -0500 | #####  End  #####
08/08/23 23:24:02 EST -0500 | ##### Start #####
08/08/23 23:24:02 EST -0500 | #####  End  #####
08/08/23 23:25:02 EST -0500 | ##### Start #####
08/08/23 23:25:03 EST -0500 | #####  End  #####
08/08/23 23:26:02 EST -0500 | ##### Start #####
08/08/23 23:26:02 EST -0500 | #####  End  #####
08/08/23 23:27:02 EST -0500 | ##### Start #####
08/08/23 23:27:03 EST -0500 | #####  End  #####
08/08/23 23:28:02 EST -0500 | ##### Start #####
08/08/23 23:28:02 EST -0500 | #####  End  #####
08/08/23 23:29:02 EST -0500 | ##### Start #####
08/08/23 23:29:03 EST -0500 | #####  End  #####
08/08/23 23:30:02 EST -0500 | ##### Start #####
08/08/23 23:30:03 EST -0500 | #####  End  #####
08/08/23 23:31:01 EST -0500 | ##### Start #####
08/08/23 23:31:02 EST -0500 | #####  End  #####
08/08/23 23:32:02 EST -0500 | ##### Start #####
08/08/23 23:32:02 EST -0500 | #####  End  #####
08/08/23 23:33:02 EST -0500 | ##### Start #####
08/08/23 23:33:03 EST -0500 | #####  End  #####
08/08/23 23:34:03 EST -0500 | ##### Start #####
08/08/23 23:34:03 EST -0500 | #####  End  #####
08/08/23 23:35:02 EST -0500 | ##### Start #####
08/08/23 23:35:03 EST -0500 | #####  End  #####
08/08/23 23:36:01 EST -0500 | ##### Start #####
08/08/23 23:36:02 EST -0500 | #####  End  #####
08/08/23 23:37:02 EST -0500 | ##### Start #####
08/08/23 23:37:03 EST -0500 | #####  End  #####
08/08/23 23:38:02 EST -0500 | ##### Start #####
08/08/23 23:38:02 EST -0500 | #####  End  #####
08/08/23 23:39:02 EST -0500 | ##### Start #####
08/08/23 23:39:02 EST -0500 | #####  End  #####
08/08/23 23:40:02 EST -0500 | ##### Start #####
08/08/23 23:40:03 EST -0500 | #####  End  #####
08/08/23 23:41:01 EST -0500 | ##### Start #####
08/08/23 23:41:02 EST -0500 | #####  End  #####
08/08/23 23:42:02 EST -0500 | ##### Start #####
08/08/23 23:42:02 EST -0500 | #####  End  #####
08/08/23 23:43:02 EST -0500 | ##### Start #####
08/08/23 23:43:03 EST -0500 | #####  End  #####
08/08/23 23:44:02 EST -0500 | ##### Start #####
08/08/23 23:44:03 EST -0500 | #####  End  #####
08/08/23 23:45:02 EST -0500 | ##### Start #####
08/08/23 23:45:02 EST -0500 | #####  End  #####
08/08/23 23:46:02 EST -0500 | ##### Start #####
08/08/23 23:46:03 EST -0500 | #####  End  #####
08/08/23 23:47:02 EST -0500 | ##### Start #####
08/08/23 23:47:03 EST -0500 | #####  End  #####
08/08/23 23:48:02 EST -0500 | ##### Start #####
08/08/23 23:48:02 EST -0500 | #####  End  #####
08/08/23 23:49:02 EST -0500 | ##### Start #####
08/08/23 23:49:03 EST -0500 | #####  End  #####
08/08/23 23:50:02 EST -0500 | ##### Start #####
08/08/23 23:50:02 EST -0500 | #####  End  #####
08/08/23 23:51:02 EST -0500 | ##### Start #####
08/08/23 23:51:02 EST -0500 | #####  End  #####
08/08/23 23:52:02 EST -0500 | ##### Start #####
08/08/23 23:52:03 EST -0500 | #####  End  #####
08/08/23 23:53:02 EST -0500 | ##### Start #####
08/08/23 23:53:03 EST -0500 | #####  End  #####
08/08/23 23:54:02 EST -0500 | ##### Start #####
08/08/23 23:54:02 EST -0500 | #####  End  #####
08/08/23 23:55:02 EST -0500 | ##### Start #####
08/08/23 23:55:03 EST -0500 | #####  End  #####
08/08/23 23:56:02 EST -0500 | ##### Start #####
08/08/23 23:56:02 EST -0500 | #####  End  #####
08/08/23 23:57:02 EST -0500 | ##### Start #####
08/08/23 23:57:03 EST -0500 | #####  End  #####
08/08/23 23:58:02 EST -0500 | ##### Start #####
08/08/23 23:58:02 EST -0500 | #####  End  #####
08/08/23 23:59:02 EST -0500 | ##### Start #####
08/08/23 23:59:03 EST -0500 | #####  End  #####
08/09/23 00:00:02 EST -0500 | ##### Start #####
08/09/23 00:00:03 EST -0500 | #####  End  #####
08/09/23 00:01:02 EST -0500 | ##### Start #####
08/09/23 00:01:03 EST -0500 | #####  End  #####
08/09/23 00:02:02 EST -0500 | ##### Start #####
08/09/23 00:02:02 EST -0500 | #####  End  #####
08/09/23 00:03:02 EST -0500 | ##### Start #####
08/09/23 00:03:03 EST -0500 | #####  End  #####
08/09/23 00:04:01 EST -0500 | ##### Start #####
08/09/23 00:04:02 EST -0500 | #####  End  #####
08/09/23 00:05:02 EST -0500 | ##### Start #####
08/09/23 00:05:03 EST -0500 | #####  End  #####
08/09/23 00:06:02 EST -0500 | ##### Start #####
08/09/23 00:06:02 EST -0500 | #####  End  #####
08/09/23 00:07:02 EST -0500 | ##### Start #####
08/09/23 00:07:03 EST -0500 | #####  End  #####
08/09/23 00:08:02 EST -0500 | ##### Start #####
08/09/23 00:08:02 EST -0500 | #####  End  #####
08/09/23 00:09:02 EST -0500 | ##### Start #####
08/09/23 00:09:03 EST -0500 | #####  End  #####
08/09/23 00:10:02 EST -0500 | ##### Start #####
08/09/23 00:10:02 EST -0500 | #####  End  #####
08/09/23 00:11:02 EST -0500 | ##### Start #####
08/09/23 00:11:02 EST -0500 | #####  End  #####
08/09/23 00:12:03 EST -0500 | ##### Start #####
08/09/23 00:12:03 EST -0500 | #####  End  #####
08/09/23 00:13:02 EST -0500 | ##### Start #####
08/09/23 00:13:03 EST -0500 | #####  End  #####
08/09/23 00:14:02 EST -0500 | ##### Start #####
08/09/23 00:14:02 EST -0500 | #####  End  #####
08/09/23 00:15:02 EST -0500 | ##### Start #####
08/09/23 00:15:03 EST -0500 | #####  End  #####
08/09/23 00:16:02 EST -0500 | ##### Start #####
08/09/23 00:16:02 EST -0500 | #####  End  #####
08/09/23 00:17:02 EST -0500 | ##### Start #####
08/09/23 00:17:03 EST -0500 | #####  End  #####
08/09/23 00:18:02 EST -0500 | ##### Start #####
08/09/23 00:18:02 EST -0500 | #####  End  #####
08/09/23 00:19:03 EST -0500 | ##### Start #####
08/09/23 00:19:04 EST -0500 | #####  End  #####
08/09/23 00:20:02 EST -0500 | ##### Start #####
08/09/23 00:20:02 EST -0500 | #####  End  #####
